week	m		w		f	
1	1-1	8/24/2026	1-2	8/26/2026	1-3	8/28/2026
2	2-1	8/31/2026	2-2	9/2/2026	2-3	9/4/2026
3	3-1	9/7/2026	3-2	9/9/2026	3-3	9/11/2026
4	4-1	9/14/2026	4-2	9/16/2026	4-3	9/18/2026
5	5-1	9/21/2026	5-2	9/23/2026	5-3	9/25/2026
6	6-1	9/28/2026	6-2	9/30/2026	6-3	10/2/2026
7	7-1	10/5/2026	7-2	10/7/2026	7-3	10/9/2026
8	8-1	10/12/2026	8-2	10/14/2026	8-3	10/16/2026
9	9-1	10/19/2026	9-2	10/21/2026	9-3	10/23/2026
10	10-1	10/26/2026	10-2	10/28/2026	10-3	10/30/2026
11	11-1	11/2/2026	11-2	11/4/2026	11-3	11/6/2026
12	12-1	11/9/2026	12-2	11/11/2026	12-3	11/13/2026
13	13-1	11/16/2026	13-2	11/18/2026	13-3	11/20/2026
	13-x	11/23/2026	13-x	11/25/2026	13-x	11/27/2026
14	14-1	11/30/2026	14-2	12/2/2026	14-3	12/4/2026
15	15-1	12/7/2026	15-2	12/9/2026	15-3	12/11/2026
16	16-1	12/14/2026	16-2	12/16/2026	16-3	12/18/2026
